store_nbr,family,date,sales
1,AUTOMOTIVE,2017-08-16,4.549869963122051
1,AUTOMOTIVE,2017-08-17,2.4991285229320304
1,AUTOMOTIVE,2017-08-18,5.542122084679125
1,AUTOMOTIVE,2017-08-19,4.938618319235344
1,AUTOMOTIVE,2017-08-20,1.9649582757780224
1,AUTOMOTIVE,2017-08-21,3.810009295997941
1,AUTOMOTIVE,2017-08-22,3.1681953477342333
1,AUTOMOTIVE,2017-08-23,5.707417882878928
1,AUTOMOTIVE,2017-08-24,4.821195419164573
1,AUTOMOTIVE,2017-08-25,4.708476268753077
1,AUTOMOTIVE,2017-08-26,4.470078478603865
1,AUTOMOTIVE,2017-08-27,1.4653884584377885
1,AUTOMOTIVE,2017-08-28,3.8100707025288365
1,AUTOMOTIVE,2017-08-29,3.5928902495117745
1,AUTOMOTIVE,2017-08-30,5.097932350583573
1,AUTOMOTIVE,2017-08-31,3.682077786721881
1,BEAUTY,2017-08-16,3.8013497656941713
1,BEAUTY,2017-08-17,2.7336921193329924
1,BEAUTY,2017-08-18,3.1467167744984925
1,BEAUTY,2017-08-19,3.1240907423861026
1,BEAUTY,2017-08-20,1.4766839260155518
1,BEAUTY,2017-08-21,4.8988709209449235
1,BEAUTY,2017-08-22,2.9267535035668164
1,BEAUTY,2017-08-23,3.4678895536855077
1,BEAUTY,2017-08-24,2.149365114270767
1,BEAUTY,2017-08-25,2.754154505915315
1,BEAUTY,2017-08-26,4.541069853649407
1,BEAUTY,2017-08-27,1.8842084859943293
1,BEAUTY,2017-08-28,3.4284382877805317
1,BEAUTY,2017-08-29,3.4817093803657553
1,BEAUTY,2017-08-30,2.6363946154462052
1,BEAUTY,2017-08-31,4.602242151832343
1,BEVERAGES,2017-08-16,2453.671515609769
1,BEVERAGES,2017-08-17,2078.2629651807515
1,BEVERAGES,2017-08-18,2239.059290534587
1,BEVERAGES,2017-08-19,2261.710963577696
1,BEVERAGES,2017-08-20,888.5416240110832
1,BEVERAGES,2017-08-21,2184.4413336213947
1,BEVERAGES,2017-08-22,2144.8588293384455
1,BEVERAGES,2017-08-23,2302.3276466303437
1,BEVERAGES,2017-08-24,1937.5102994030824
1,BEVERAGES,2017-08-25,2183.9367506352123
1,BEVERAGES,2017-08-26,2163.274795131504
1,BEVERAGES,2017-08-27,941.1933063457094
1,BEVERAGES,2017-08-28,2143.7787383176596
1,BEVERAGES,2017-08-29,2174.996076102511
1,BEVERAGES,2017-08-30,2194.8770143438433
1,BEVERAGES,2017-08-31,2022.1383599327185
1,BOOKS,2017-08-16,0.05693636044014595
1,BOOKS,2017-08-17,0.0
1,BOOKS,2017-08-18,0.0
